year,lat,lon,location,event
2007,37.774929,-122.419418,San Francisco,"During a weekend when hotels are sold out for a design conference, Brian Chesky and Joe Gebbia host the first guests of Airbedandbreakfast.com to make rent money"
2008,37.774929,-122.419418,San Francisco,Airbed & Breakfast officially launches during SXSW 2008 and makes two bookings
2008,39.739235,-104.99025,Denver,The Democratic National Convention in Denver
2009,48.856613,2.352222,Paris,First international meetup in Paris
2011,52.520008,13.404954,Berlin,Airbnb begins international expansion with opening of German office
2012,40.712776,-74.005974,New York,Airbnb offers free listings for Hurricane Sandy in partnership with the city of New York – the official launch of the Disaster Relief tool
2013,37.774929,-122.419418,San Francisco,Airbnb moves headquarters to 888 Brannan Street in San Francisco
2014,-22.901449,-43.178921,Rio,"Airbnb hosts more than 100,000 guests during the Rio World Cup"
2014,37.774929,-122.419418,San Francisco,"Airbnb Open in San Francisco  – 1,500 hosts attend"
2015,23.128139,-82.389717,Cuba,Airbnb launches in Cuba
2015,48.856613,2.352222,Paris,"Airbnb welcomes 6,000 hosts at the Airbnb Open in Paris"
2016,34.052235,-118.243683,Los Angeles,"At the Airbnb Open in LA, Airbnb announces the launch of Trips and welcomes 7,000 attendees from over 100 countries"
2017,39.904202,116.407394,Beijing,"Airbnb Launches their Chinese brand, Aibiying"
