id,listing_url,name,experiences_offered,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
3781,https://www.airbnb.com/rooms/3781,HARBORSIDE-Walk to subway,none,4804,Frank,2008/12/3,Massachusetts,"My wife and I and grown children frequently occupy the spaces that we rent and as such try to make the spaces pleasant and appealing to ourselves as well as guests.   We have been subletting for over 15 years and consider ourselves helpful and organized hosts who provide clean, attractive and comfortable apartments",within a few hours,100%,N/A,t,East Boston,5,5,"Boston, MA, United States",East Boston,East Boston,,Boston,MA,2128,Boston,"Boston, MA",US,United States,42.36524,-71.02936,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$125.00,$750.00,"$2,250.00",$0.00,$75.00,2,$0.00
6976,https://www.airbnb.com/rooms/6976,Mexican Folk Art Showcase in Boston Neighborhood,none,16701,Phil,2009/5/11,"Boston, Massachusetts, United States","I am a middle-aged, single male with a wide range of interests and creative outlets.  I have traveled frequently, in much of the world, especially central Europe, including Hungary and Slovakia. In recent years I have had many trips to Mexico, where I buy folk art for my online business, called Viva Oaxaca Folk Art. I love meeting new people, especially travelers with stories to tell.  

In addition to the above, I run web sites for small companies, including a physical therapy practice, a cancer treatment center and a colonial era historic house and museum. 

In the 1980s, I was a publicist and concert producer, and have presented many concerts with Judy Collins, as well as with Ella Fitzgerald, Laura Nyro, Tom Rush, Barbara Cook and Karen Akers. Now I run a channel on YouTube called ""beta.hifi.archive"" that is a collection of 50 years of video clips from the career of Judy Collins. 

So come to Boston, and stay with me. Enjoy some tomatoes and cucumbers from my garden, explore my world of Mexican folk art, and let's talk about our travel adventures.
",within an hour,100%,N/A,t,Roslindale,1,1,"Boston, MA, United States",Roslindale,Roslindale,,Boston,MA,2131,Boston,"Boston, MA",US,United States,42.29244,-71.13577,t,Apartment,Private room,2,1,1,1,Real Bed,$65.00,$395.00,"$1,350.00",$0.00,$0.00,1,$30.00
8789,https://www.airbnb.com/rooms/8789,Curved Glass Studio/1bd facing Park,none,26988,Anne,2009/7/22,"Boston, Massachusetts, United States","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,100%,N/A,f,Beacon Hill,12,12,"Boston, MA, United States",Beacon Hill,Downtown,,Boston,MA,2108,Boston,"Boston, MA",US,United States,42.35919,-71.06265,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$99.00,"$1,200.00","$2,900.00","$1,000.00",$250.00,1,$0.00
9273,https://www.airbnb.com/rooms/9273,"Stay at ""HARBORVIEW"" Walk to subway",none,4804,Frank,2008/12/3,Massachusetts,"My wife and I and grown children frequently occupy the spaces that we rent and as such try to make the spaces pleasant and appealing to ourselves as well as guests.   We have been subletting for over 15 years and consider ourselves helpful and organized hosts who provide clean, attractive and comfortable apartments",within a few hours,100%,N/A,t,East Boston,5,5,"Boston, MA, United States",East Boston,East Boston,,Boston,MA,2128,Boston,"Boston, MA",US,United States,42.36461,-71.02902,t,Apartment,Entire home/apt,4,2,2,2,Real Bed,$225.00,"$1,400.00","$3,600.00",,$80.00,4,$20.00
10730,https://www.airbnb.com/rooms/10730,Bright 1bed facing Golden Dome,none,26988,Anne,2009/7/22,"Boston, Massachusetts, United States","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,100%,N/A,f,Beacon Hill,12,12,"Boston, MA, United States",Beacon Hill,Downtown,,Boston,MA,2108,Boston,"Boston, MA",US,United States,42.3584,-71.06185,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$150.00,"$1,200.00","$3,000.00","$1,000.00",$250.00,1,$0.00
10811,https://www.airbnb.com/rooms/10811,Back Bay Studio on Marlborough St-,none,38997,Michelle,2009/9/16,US,,within a few hours,94%,N/A,f,Back Bay,17,17,"Boston, MA, United States",Back Bay,Back Bay,,Boston,MA,2115,Boston,"Boston, MA",US,United States,42.34973,-71.08792,f,Apartment,Entire home/apt,3,1,0,2,Real Bed,$179.00,,"$2,250.00",$500.00,$100.00,1,$0.00
10813,https://www.airbnb.com/rooms/10813,Back Bay Apt Studio-,none,38997,Michelle,2009/9/16,US,,within a few hours,94%,N/A,f,Back Bay,17,17,"Boston, MA, United States",Back Bay,Back Bay,,Boston,MA,2115,Boston,"Boston, MA",US,United States,42.34961,-71.08904,t,Apartment,Entire home/apt,3,1,0,2,Real Bed,$179.00,$800.00,"$2,250.00",$500.00,$100.00,1,$0.00
10986,https://www.airbnb.com/rooms/10986,Waterfront Furnished Apt,none,38997,Michelle,2009/9/16,US,,within a few hours,94%,N/A,f,Back Bay,17,17,"Boston, MA, United States",North End,North End,,Boston,MA,2109,Boston,"Boston, MA",US,United States,42.36352,-71.05075,f,Condominium,Entire home/apt,2,1,0,1,Real Bed,$125.00,,,$500.00,$145.00,1,$0.00
18711,https://www.airbnb.com/rooms/18711,The Dorset | 3BR 1BA | 1st Floor,none,71783,Lance,2010/1/19,"Boston, Massachusetts, United States","Lance R. Swank, Principal

His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lance’s spaces.

Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.",within a few hours,94%,N/A,f,Dorchester,25,25,"Boston, MA, United States",Dorchester,Dorchester,,Boston,MA,2125,Boston,"Boston, MA",US,United States,42.32329,-71.0621,t,Serviced apartment,Hotel room,7,1,3,3,Real Bed,$126.00,"$1,375.00","$3,500.00",$100.00,$175.00,3,$13.00
22354,https://www.airbnb.com/rooms/22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,none,85770,Robert,2010/2/26,"Boston, Massachusetts, United States",I am a semi retired college professor still teaching courses in English literature and history relating to the year 1912 and sinking of Titanic...also a student of CHINESE history,within an hour,100%,N/A,f,South End,4,4,"Boston, MA, United States",South End,South End,,Boston,MA,2116,Boston,"Boston, MA",US,United States,42.34496,-71.07486,t,House,Private room,1,,1,1,Real Bed,$148.00,,,$0.00,$21.00,1,$15.00
