,Borough,airbnb_inventory,airbnb_price,type,neighborhood,rental_price,rental_inventory
0,Bronx,17,100.0,All,Allerton,,
1,Staten Island,3,75.0,All,Arden Heights,,
2,Staten Island,10,123.5,All,Arrochar,,
3,Queens,54,150.0,All,Arverne,,
4,Queens,359,120.0,All,Astoria,2200.0,1903.0
5,Brooklyn,9,100.0,All,Bath Beach,1750.0,67.0
6,Manhattan,50,225.0,All,Battery Park City,4900.0,213.0
7,Brooklyn,67,120.0,All,Bay Ridge,1999.0,601.0
8,Queens,3,189.0,All,Bay Terrace,,
9,Staten Island,2,102.5,All,"Bay Terrace, Staten Island",,
10,Bronx,4,97.5,All,Baychester,,0.0
11,Queens,16,170.0,All,Bayside,2400.0,27.0
12,Queens,4,135.5,All,Bayswater,,
13,Brooklyn,1596,129.5,All,Bedford-Stuyvesant,2500.0,2325.0
14,Queens,5,105.0,All,Belle Harbor,,
15,Queens,2,122.5,All,Bellerose,,2.0
16,Bronx,6,132.5,All,Belmont,2100.0,35.0
17,Brooklyn,30,105.0,All,Bensonhurst,1850.0,121.0
18,Brooklyn,12,92.5,All,Bergen Beach,2088.0,14.0
19,Brooklyn,133,170.0,All,Boerum Hill,3250.0,113.0
20,Brooklyn,23,110.0,All,Borough Park,1900.0,84.0
21,Queens,16,92.0,All,Briarwood,1750.0,71.0
22,Brooklyn,35,119.0,All,Brighton Beach,2050.0,73.0
23,Bronx,8,77.5,All,Bronxdale,,
24,Brooklyn,117,160.0,All,Brooklyn Heights,3391.0,207.0
25,Brooklyn,20,100.0,All,Brownsville,2025.0,50.0
26,Brooklyn,683,125.0,All,Bushwick,2575.0,2541.0
27,Queens,5,120.0,All,Cambria Heights,,0.0
28,Brooklyn,80,114.0,All,Canarsie,2200.0,32.0
29,Brooklyn,170,170.0,All,Carroll Gardens,2983.0,182.0
30,Bronx,2,66.0,All,Castle Hill,1799.0,13.0
31,Staten Island,2,182.0,All,Castleton Corners,,
32,Staten Island,1,500.0,All,Charleston,,
33,Manhattan,787,223.0,All,Chelsea,4137.0,804.0
34,Manhattan,203,170.0,All,Chinatown,2500.0,70.0
35,Bronx,9,110.0,All,City Island,,1.0
36,Manhattan,30,172.5,All,Civic Center,,0.0
37,Bronx,9,85.0,All,Claremont Village,,
38,Bronx,8,110.0,All,Clason Point,,
39,Staten Island,9,75.0,All,Clifton,,
40,Brooklyn,337,150.0,All,Clinton Hill,2700.0,368.0
41,Brooklyn,73,175.0,All,Cobble Hill,3163.0,111.0
42,Queens,11,87.0,All,College Point,,9.0
43,Brooklyn,31,149.0,All,Columbia St,,
44,Staten Island,5,120.0,All,Concord,,
45,Bronx,19,100.0,All,Concourse,1700.0,93.0
46,Bronx,10,117.5,All,Concourse Village,,
47,Brooklyn,8,110.0,All,Coney Island,2300.0,27.0
48,Queens,13,100.0,All,Corona,1955.0,33.0
49,Brooklyn,751,125.0,All,Crown Heights,2400.0,1376.0
50,Brooklyn,52,99.5,All,Cypress Hills,,
51,Brooklyn,21,195.0,All,DUMBO,4773.0,70.0
52,Queens,124,112.5,All,Ditmars Steinway,,
53,Staten Island,4,90.0,All,Dongan Hills,,
54,Queens,3,125.0,All,Douglaston,,7.0
55,Brooklyn,50,155.0,All,Downtown Brooklyn,3350.0,411.0
56,Brooklyn,8,120.0,All,Dyker Heights,2200.0,57.0
57,Queens,69,120.0,All,East Elmhurst,,8.0
58,Brooklyn,189,110.0,All,East Flatbush,2100.0,257.0
59,Manhattan,503,150.0,All,East Harlem,2332.0,548.0
